vehicle_model,battery_capacity_kwh,charging_station_id,charging_station_location,energy_consumed_kwh,charging_duration_hours,charging_rate_kw,time_of_day,day_of_week,state_of_charge_start_,state_of_charge_end_,distance_driven_since_last_charge_km,temperature_c,charger_type,user_type,station_name,operator,station_key,station_name_loc,address,operator_loc,charging_types,payment_options,amenities,latitude,longitude,city,state
TATA Tiago,120.5106328,Station_275,"Breach Candy Hospital Complex, Mumbai",68.82528251,4.06,16.93561005,Afternoon,Monday,70.75160734,55.33183817,139.0348047,-1.966119085,Level 1,Commuter,Magenta ChargeGrid - Breach Candy,Magenta,magenta chargegrid breach candy,Magenta ChargeGrid - Breach Candy,"Breach Candy Hospital Complex, Mumbai",Magenta,"AC 7.4kW, DC 15kW","App, Card",Hospital Parking,18.9677,72.8055,Mumbai,Maharashtra
TATA Nexon,62.0,Station_492,"LBS Marg, Near Bhandup Station, Mumbai",22.57288245,0.54,41.5266716,Evening,Friday,18.85564766,98.32393365,139.2222178,1.565003654,DC Fast Charger,Long-Distance Traveler,Magenta ChargeGrid - Bhandup,Magenta,magenta chargegrid bhandup,Magenta ChargeGrid - Bhandup,"LBS Marg, Near Bhandup Station, Mumbai",Magenta,"AC 7.4kW, DC 15kW","App, Card",Parking,19.1547,72.9346,Mumbai,Maharashtra
TATA Tiago,100.0,Station_263,"MGL Terminal, Opposite Anik Depot, Wadala, Mumbai",22.27571241,1.22,18.2090343,Morning,Wednesday,83.64021009,59.25917191,114.5406814,21.74994096,DC Fast Charger,Long-Distance Traveler,Tata Power - Mahanagar Gas,Tata Power,tata power mahanagar gas,Tata Power - Mahanagar Gas,"MGL Terminal, Opposite Anik Depot, Wadala, Mumbai",Tata Power,DC 25kW,App,"Parking, App Connect",19.0281,72.8647,Mumbai,Maharashtra
MG Comet,75.0,Station_302,"Kalyan West, Kalyan, Thane",61.11752874,2.15,28.40157855,Night,Sunday,28.7158913,52.96116986,172.6673988,-3.133508581,Level 2,Long-Distance Traveler,Magenta ChargeGrid - Kalyan,Magenta,magenta chargegrid kalyan,Magenta ChargeGrid - Kalyan,"Kalyan West, Kalyan, Thane",Magenta,"AC 7.4kW, DC 15kW","App, Card",Parking,19.2403,73.1258,Mumbai,Maharashtra
TATA Nexon,75.0,Station_442,"Apollo Bunder Road, Colaba, Mumbai",36.5318794,7.17,5.092837674,Evening,Sunday,80.02092861,75.52594739,97.72575854,11.30164247,DC Fast Charger,Long-Distance Traveler,Tata Power - Gateway of India,Tata Power,tata power gateway of india,Tata Power - Gateway of India,"Apollo Bunder Road, Colaba, Mumbai",Tata Power,AC 11kW,"App, RFID",Tourist Parking,18.9218,72.8347,Mumbai,Maharashtra
TATA Tiago,50.0,Station_400,"Dahisar Check Naka Parking, Mumbai",47.90409794,2.17,22.06190557,Night,Thursday,48.97534202,75.49040404,32.2376168,-2.996197815,Level 1,Commuter,VoltaPoint - Dahisar,VoltaPoint,voltapoint dahisar,VoltaPoint - Dahisar,"Dahisar Check Naka Parking, Mumbai",VoltaPoint,"AC 11kW, DC 30kW",App,Public Parking,19.2567,72.8572,Mumbai,Maharashtra
Hyundai Kona,100.0,Station_71,"G-603/604, Vasari Hill Rd, Malad, Sunder Nagar, Goregaon West, Mumbai",79.00225971,2.93,26.97742286,Night,Friday,22.53375157,93.2978301,39.74600723,7.684356808,Level 2,Commuter,EV Dock - Malad,EV Dock,dock malad,EV Dock - Malad,"G-603/604, Vasari Hill Rd, Malad, Sunder Nagar, Goregaon West, Mumbai",EV Dock,"AC 11kW, DC 60kW","App, RFID, UPI","RFID, UPI, Parking",19.1787,72.8446,Mumbai,Maharashtra
TATA Tiago,75.0,Station_121,"Versova Metro Station, Andheri West, Mumbai",51.62169093,1.2,43.16138737,Afternoon,Monday,22.78747904,58.66249439,185.9521521,7.936964701,Level 1,Casual Driver,ChargeZone - Versova,ChargeZone,chargezone versova,ChargeZone - Versova,"Versova Metro Station, Andheri West, Mumbai",ChargeZone,"AC 22kW, DC 50kW","App, Card",Parking,19.137,72.8261,Mumbai,Maharashtra
TATA Tiago,75.0,Station_63,"Pay & Park, Central Ave, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",70.62045542,3.85,18.33554746,Morning,Saturday,25.72347164,99.5858146,188.4637916,-4.842996855,Level 1,Commuter,"Brookfield, Powai",,brookfield powai,"Brookfield, Powai","Spectra, High St, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",,,,,19.11637,72.91086,Mumbai,Maharashtra
TATA Nexon,75.0,Station_436,"Junction of Bellasis Road and Dr D.B. Marg , Mumbai Central, Mumbai 400008",32.52486105,1.03,31.55315617,Evening,Thursday,23.42576753,83.74262074,294.0582588,25.92667701,DC Fast Charger,Long-Distance Traveler,"Nathani Heights, Mumbai Central",,nathani heights mumbai central,"Nathani Heights, Mumbai Central","Junction of Bellasis Road and Dr D.B. Marg , Mumbai Central, Mumbai 400008",,,,,18.9688627,72.8207138,Mumbai,Maharashtra
TATA Nexon,100.0,Station_68,"Near Vikhroli Station East, Mumbai",78.3990561,2.63,29.75315871,Night,Sunday,49.66021029,83.24626253,119.7886479,-9.296045391,Level 1,Commuter,Tata Power - Vikhroli,Tata Power,tata power vikhroli,Tata Power - Vikhroli,"Near Vikhroli Station East, Mumbai",Tata Power,"AC 11kW, DC 25kW","App, RFID, UPI",Parking,19.106,72.9286,Mumbai,Maharashtra
TATA Tiago,75.0,Station_108,"Unit 20-22, Laxmi Woollen Mill, Opposite Blue Loft, Dr E Moses Marg, Off, Shakti Mills Ln, Mahalakshmi, Mumbai",23.99396127,0.73,32.93397056,Evening,Tuesday,87.85226345,75.36398823,205.1702417,5.918020657,Level 2,Long-Distance Traveler,Blue Tokai Coffee,,blue tokai coffee,Blue Tokai Coffee,"Unit 20-22, Laxmi Woollen Mill, Opposite Blue Loft, Dr E Moses Marg, Off, Shakti Mills Ln, Mahalakshmi, Mumbai",,,,,18.989356,72.825234,Mumbai,Maharashtra
MG Comet,100.0,Station_417,"Runwal Anthurium Rd, opposite Veena Nagar, Vardhman Nagar, Mulund West",23.54038392,6.71,3.508161487,Evening,Thursday,17.17061425,39.31920167,192.8568913,14.53864932,Level 2,Casual Driver,MCGM Parking || Runwal Anthurium,,mcgm parking runwal anthurium,MCGM Parking || Runwal Anthurium,"Runwal Anthurium Rd, opposite Veena Nagar, Vardhman Nagar, Mulund West",,,,,19.18066617,72.94684724,Mumbai,Maharashtra
TATA Tiago,85.0,Station_216,"Junction of Bellasis Road and Dr D.B. Marg , Mumbai Central, Mumbai 400008",46.45478115,1.08,42.8384828,Morning,Tuesday,12.79308917,70.71797257,3.824527427,26.51176747,Level 1,Commuter,"Nathani Heights, Mumbai Central",,nathani heights mumbai central,"Nathani Heights, Mumbai Central","Junction of Bellasis Road and Dr D.B. Marg , Mumbai Central, Mumbai 400008",,,,,18.9688627,72.8207138,Mumbai,Maharashtra
Hyundai Kona,100.0,Station_98,"Diamond Garden, Chembur, Mumbai",66.17491556,16.16,4.096052506,Night,Wednesday,57.51855751,59.21834421,19.84255062,12.62900175,DC Fast Charger,Casual Driver,Magenta ChargeGrid - Chembur Diamond Garden,Magenta,magenta chargegrid chembur diamond garden,Magenta ChargeGrid - Chembur Diamond Garden,"Diamond Garden, Chembur, Mumbai",Magenta,AC 7.4kW,App,Park Parking,19.0458,72.8991,Mumbai,Maharashtra
TATA Curvv,50.0,Station_484,"Tilak Nagar Railway Station, Mumbai",55.42091221,1.42,39.08038685,Morning,Thursday,74.61169024,62.05991728,204.6713676,-9.366179122,DC Fast Charger,Commuter,Tata Power - Tilak Nagar,Tata Power,tata power tilak nagar,Tata Power - Tilak Nagar,"Tilak Nagar Railway Station, Mumbai",Tata Power,AC 11kW,App,Station Parking,19.0734,72.8892,Mumbai,Maharashtra
MG Comet,85.0,Station_276,"Tata Power Dharavi Colony labour camp dharavi ,Matunga ,Mumbai 400019",14.50345514,0.39,37.65992488,Morning,Tuesday,51.14214596,99.98660421,168.0448614,12.24739891,Level 2,Commuter,"Tata Power, Dharavi Colony",,tata power dharavi colony,"Tata Power, Dharavi Colony","Tata Power Dharavi Colony labour camp dharavi ,Matunga ,Mumbai 400019",,,,,19.034402,72.85284,Mumbai,Maharashtra
TATA Tiago,62.0,Station_183,"Hiranandani Gardens, Powai, Mumbai",103.8126056,6.26,16.59138267,Night,Friday,52.79679327,89.35179211,99.94100542,8.330158356,Level 2,Casual Driver,Ather Grid - Hiranandani,Ather,ather grid hiranandani,Ather Grid - Hiranandani,"Hiranandani Gardens, Powai, Mumbai",Ather,DC Fast 25kW,App,Parking,19.1206,72.9188,Mumbai,Maharashtra
TATA Tiago,62.0,Station_322,"Borosil Plot,off, Makwana Rd, Marol, Andheri East, Mumbai, Maharashtra",62.19283346,3.04,20.45251231,Morning,Saturday,24.3852456,88.82972948,277.7232645,14.27625134,DC Fast Charger,Long-Distance Traveler,Vasant oasis,,vasant oasis,Vasant oasis,"Borosil Plot,off, Makwana Rd, Marol, Andheri East, Mumbai, Maharashtra",,,,,19.1146146,72.8840941,Mumbai,Maharashtra
TATA Curvv,85.0,Station_238,"Santacruz West, Next to Railway Station, Mumbai",40.16142185,1.41,28.47996213,Evening,Wednesday,35.04453498,94.56359194,93.9952317,13.35438717,DC Fast Charger,Casual Driver,ATUM Charge - Santacruz,ATUM,atum charge santacruz,ATUM Charge - Santacruz,"Santacruz West, Next to Railway Station, Mumbai",ATUM,"AC 7.4kW, DC 25kW","App, Card",Parking,19.0815,72.8367,Mumbai,Maharashtra
TATA Curvv,62.0,Station_134,"Inorbit Mall, Goregaon West, Mumbai",42.51736092,1.07,39.91263736,Morning,Saturday,88.94643474,63.74334492,191.0776829,10.33319646,Level 2,Casual Driver,Jio-bp Pulse - Goregaon West,Jio-bp Pulse,jio bp pulse goregaon west,Jio-bp Pulse - Goregaon West,"Inorbit Mall, Goregaon West, Mumbai",Jio-bp Pulse,"AC 22kW, DC 60kW",App,Mall Parking,19.1643,72.8346,Mumbai,Maharashtra
MG Comet,75.0,Station_222,"Kolshet Road, Thane West",10.45065783,0.26,39.8938261,Afternoon,Wednesday,82.76444286,60.77776335,85.92100725,20.63494735,Level 2,Long-Distance Traveler,Jio-bp Pulse - Kolshet,Jio-bp Pulse,jio bp pulse kolshet,Jio-bp Pulse - Kolshet,"Kolshet Road, Thane West",Jio-bp Pulse,"AC 22kW, DC 60kW",App,Street Parking,19.2587,72.9773,Mumbai,Maharashtra
TATA Tiago,100.0,Station_373,"Anushakti Nagar, Trombay, Mumbai",30.805662,1.62,18.97988935,Night,Saturday,60.72720275,61.20655137,155.7144902,29.11438027,Level 2,Casual Driver,Magenta ChargeGrid - Trombay,Magenta,magenta chargegrid trombay,Magenta ChargeGrid - Trombay,"Anushakti Nagar, Trombay, Mumbai",Magenta,"AC 7.4kW, DC 15kW",App,Public Parking,19.037,72.9235,Mumbai,Maharashtra
TATA Tiago,77.60847805,Station_480,"Juhu Beach Gate 3, Mumbai",73.09045077,2.41,30.38880381,Morning,Tuesday,29.66650146,99.85685077,227.7259802,2.594249726,DC Fast Charger,Casual Driver,Tata Power - Juhu Vile Parle,Tata Power,tata power juhu vile parle,Tata Power - Juhu Vile Parle,"Juhu Beach Gate 3, Mumbai",Tata Power,"AC 22kW, DC 25kW","App, RFID",Beach Parking,19.097,72.8261,Mumbai,Maharashtra
TATA Tiago,75.0,Station_48,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",26.99234408,0.58,46.58137118,Morning,Monday,23.69485787,56.10531021,237.5110205,25.10961225,Level 2,Commuter,MH|MUMBAI|POWAI#HIRANANDANI GARDENS,,mh mumbai powai hiranandani gardens,MH|MUMBAI|POWAI#HIRANANDANI GARDENS,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",,,,,19.11999443,72.9141036,Mumbai,Maharashtra
MG Comet,75.0,Station_11,"Thane West Station, Thane",52.90446367,3.4,15.57205559,Night,Saturday,89.8386107,97.49538047,36.7436948,32.57385369,Level 2,Long-Distance Traveler,Tata Power - Thane West,Tata Power,tata power thane west,Tata Power - Thane West,"Thane West Station, Thane",Tata Power,"AC 11kW, DC 25kW","App, UPI",Parking,19.1915,72.972,Mumbai,Maharashtra
Hyundai Kona,75.0,Station_293,"Wadala Truck Terminal, Mumbai",43.4665651,1.87,23.22301592,Evening,Friday,70.60042408,89.35441576,71.32019243,33.1090396,Level 2,Long-Distance Traveler,Magenta ChargeGrid - Wadala,Magenta,magenta chargegrid wadala,Magenta ChargeGrid - Wadala,"Wadala Truck Terminal, Mumbai",Magenta,"AC 7.4kW, DC 15kW",App,Transport Hub,19.0188,72.8571,Mumbai,Maharashtra
TATA Curvv,50.0,Station_454,"36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",54.88401336,7.86,6.985136805,Night,Saturday,64.28041815,82.38389625,127.0713209,30.59387793,Level 1,Commuter,"IOCL Kini Causway, Bandra",,iocl kini causway bandra,"IOCL Kini Causway, Bandra","36, SV Rd, Santosh Nagar, Bandra West, Mumbai, Maharashtra 400050",,,,,19.051601,72.838011,Mumbai,Maharashtra
TATA Nexon,75.0,Station_328,"Khandeshwar Railway Station, Navi Mumbai",36.04757739,0.72,49.85189639,Evening,Tuesday,46.32842586,52.15170917,57.6589438,6.876897282,Level 2,Casual Driver,Tata Power - Khandeshwar,Tata Power,tata power khandeshwar,Tata Power - Khandeshwar,"Khandeshwar Railway Station, Navi Mumbai",Tata Power,AC 11kW,App,Station Parking,19.0028,73.1076,Mumbai,Maharashtra
Hyundai Kona,62.0,Station_149,"Magenta House, D-285, TTC Industrial Area, nTurbhe, Near Unitech Motors, Navi Mumbai, Maharashtra",31.73575031,2.85,11.12987276,Evening,Wednesday,58.96875275,81.66823961,87.27410522,-9.56906362,Level 1,Casual Driver,"Magenta TTC, Turbhe",,magenta ttc turbhe,"Magenta TTC, Turbhe","Magenta House, D-285, TTC Industrial Area, nTurbhe, Near Unitech Motors, Navi Mumbai, Maharashtra",,,,,19.0685788,73.022744,Mumbai,Maharashtra
Hyundai Kona,85.0,Station_377,"Hiranandani Gardens, Powai, Mumbai",64.53824697,3.68,17.56016007,Evening,Tuesday,17.18963766,57.13538346,258.3785312,12.32638948,Level 2,Commuter,Ather Grid - Hiranandani,Ather,ather grid hiranandani,Ather Grid - Hiranandani,"Hiranandani Gardens, Powai, Mumbai",Ather,DC Fast 25kW,App,Parking,19.1206,72.9188,Mumbai,Maharashtra
TATA Curvv,75.0,Station_35,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",69.44996148,1.41,49.41673269,Morning,Thursday,27.56248159,63.29227669,150.1118468,37.89907159,Level 1,Casual Driver,MH|MUMBAI|POWAI#HIRANANDANI GARDENS,,mh mumbai powai hiranandani gardens,MH|MUMBAI|POWAI#HIRANANDANI GARDENS,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",,,,,19.11999443,72.9141036,Mumbai,Maharashtra
Hyundai Kona,62.0,Station_266,"Near Vikhroli Station East, Mumbai",79.46231191,3.13,25.41252017,Evening,Wednesday,28.46123084,49.09641538,48.23161874,32.53882053,DC Fast Charger,Long-Distance Traveler,Tata Power - Vikhroli,Tata Power,tata power vikhroli,Tata Power - Vikhroli,"Near Vikhroli Station East, Mumbai",Tata Power,"AC 11kW, DC 25kW","App, RFID, UPI",Parking,19.106,72.9286,Mumbai,Maharashtra
TATA Curvv,50.0,Station_10,"Ballard Estate Parking Lot, Fort, Mumbai",27.04710323,5.98,4.521631542,Afternoon,Monday,52.03296568,105.6169219,58.72601728,20.56538827,DC Fast Charger,Commuter,Tata Power - Ballard Estate,Tata Power,tata power ballard estate,Tata Power - Ballard Estate,"Ballard Estate Parking Lot, Fort, Mumbai",Tata Power,"AC 11kW, DC 25kW","App, RFID, UPI",Public Parking,18.9451,72.8354,Mumbai,Maharashtra
TATA Curvv,100.0,Station_446,"Ulhasnagar Station, Mumbai Region",5.650181738,0.48,11.66743821,Morning,Saturday,58.40045758,65.01799109,83.26552536,23.05944663,DC Fast Charger,Casual Driver,Statiq - Ulhasnagar,Statiq,statiq ulhasnagar,Statiq - Ulhasnagar,"Ulhasnagar Station, Mumbai Region",Statiq,"AC 11kW, DC 60kW","App, Card",Parking,19.2336,73.1353,Mumbai,Maharashtra
TATA Curvv,69.44504561,Station_4,"Kalyan East Bus Depot, Thane",72.71574853,2.25,32.25343212,Afternoon,Monday,28.89851962,57.73534409,151.6213286,4.485795959,DC Fast Charger,Commuter,Magenta ChargeGrid - Kalyan East,Magenta,magenta chargegrid kalyan east,Magenta ChargeGrid - Kalyan East,"Kalyan East Bus Depot, Thane",Magenta,AC 7.4kW,App,Depot Parking,19.2402,73.1362,Mumbai,Maharashtra
TATA Curvv,85.0,Station_426,"Nahur West, Industrial Area, Bhandup West, Mumbai, Maharashtra",61.9271036,2.45,25.27459826,Morning,Wednesday,73.65740812,93.02610697,136.959135,7.685197905,DC Fast Charger,Commuter,BMC Parking Runwal Greens,,bmc parking runwal greens,BMC Parking Runwal Greens,"Nahur West, Industrial Area, Bhandup West, Mumbai, Maharashtra",,,,,19.1593952,72.945112,Mumbai,Maharashtra
TATA Nexon,62.0,Station_338,"GD Ambekar Marg, Lal Baug, Parel, Mumbai, Maharashtra",33.39817876,2.32,14.42092922,Morning,Tuesday,23.34413923,68.13930115,23.10688272,27.28334186,DC Fast Charger,Long-Distance Traveler,Lodha Venezia CPL,,lodha venezia cpl,Lodha Venezia CPL,"GD Ambekar Marg, Lal Baug, Parel, Mumbai, Maharashtra",,,,,18.9917205,72.841513,Mumbai,Maharashtra
MG Comet,50.0,Station_19,"Devidas Lane, Shanti Ashram Borivali West, Near St.Lawrence High School, Mumbai, Maharashtra ,Borivali",74.54048486,4.4,16.93586894,Evening,Saturday,51.81491129,76.07639193,31.4384172,10.74680105,Level 2,Casual Driver,MCGM Parking || Club Aquaria,,mcgm parking club aquaria,MCGM Parking || Club Aquaria,"Devidas Lane, Shanti Ashram Borivali West, Near St.Lawrence High School, Mumbai, Maharashtra ,Borivali",,,,,19.2402364,72.8481819,Mumbai,Maharashtra
MG Comet,100.0,Station_330,"The Taj Mahal Palace, Colaba, In front of Times Building , Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",76.49931987,2.04,37.44551098,Evening,Thursday,24.87475156,58.71010168,59.59145483,45.75334767,Level 2,Commuter,Tata Power,,tata power,Tata Power Charging Station,"Anik Depot, Municipal Kamgar Vasahat, Trombay Industrial Area, Chembur, Mumbai",Tata Power,DC 25kW,"App, UPI","Parking, App Connect",19.0302,72.8927,Mumbai,Maharashtra
TATA Tiago,85.0,Station_250,"Orion Mall, Panvel",63.83060875,1.67,38.13906947,Evening,Thursday,11.08354591,74.40527959,295.9873021,13.91915988,Level 2,Casual Driver,Statiq - Panvel,Statiq,statiq panvel,Statiq - Panvel,"Orion Mall, Panvel",Statiq,"AC 22kW, DC 50kW","App, Card",Mall Parking,18.9892,73.117,Mumbai,Maharashtra
TATA Curvv,62.0,Station_228,"Shree Simandhar Towers, Mahalaxmi West, Mumbai",65.18392769,1.69,38.57770533,Night,Saturday,17.72971756,82.7913617,254.2166124,17.14920107,Level 1,Commuter,Tata Power - Mahalaxmi West,Tata Power,tata power mahalaxmi west,Tata Power - Mahalaxmi West,"Shree Simandhar Towers, Mahalaxmi West, Mumbai",Tata Power,"AC 11kW, DC 25kW",App,Residential Parking,18.994,72.8231,Mumbai,Maharashtra
MG Comet,75.0,Station_112,"Versova Metro Station, Andheri West, Mumbai",21.03051965,2.52,8.332992518,Night,Saturday,16.00498511,70.4098916,157.6764292,35.80057736,DC Fast Charger,Commuter,ChargeZone - Versova,ChargeZone,chargezone versova,ChargeZone - Versova,"Versova Metro Station, Andheri West, Mumbai",ChargeZone,"AC 22kW, DC 50kW","App, Card",Parking,19.137,72.8261,Mumbai,Maharashtra
TATA Nexon,39.29742253,Station_438,"Nehru Nagar Bus Stand, Kurla East, Mumbai",21.0022301,0.8,26.23272288,Night,Friday,32.2755592,58.86833854,216.6864603,37.19955857,Level 2,Commuter,Statiq - Kurla Nehru Nagar,Statiq,statiq kurla nehru nagar,Statiq - Kurla Nehru Nagar,"Nehru Nagar Bus Stand, Kurla East, Mumbai",Statiq,"AC 11kW, DC 60kW","App, Card",Public Parking,19.072,72.8821,Mumbai,Maharashtra
TATA Nexon,75.0,Station_20,"Bhayandar West Station Parking, Mumbai",34.80201788,2.1,16.59673018,Night,Wednesday,64.52432585,57.79820096,136.959135,14.22429415,DC Fast Charger,Casual Driver,Magenta ChargeGrid - Bhayandar,Magenta,magenta chargegrid bhayandar,Magenta ChargeGrid - Bhayandar,"Bhayandar West Station Parking, Mumbai",Magenta,AC 7.4kW,App,Public Parking,19.3134,72.8476,Mumbai,Maharashtra
TATA Curvv,75.0,Station_129,"Near Infiniti Mall, Andheri West, Mumbai",41.95057477,1.07,39.2570047,Evening,Monday,89.07810182,96.16384199,44.22582188,11.05077489,DC Fast Charger,Commuter,Kazam - Andheri West,Kazam,kazam andheri west,Kazam - Andheri West,"Near Infiniti Mall, Andheri West, Mumbai",Kazam,"AC 7.4kW, DC 15kW",App,Parking,19.1372,72.8276,Mumbai,Maharashtra
MG Comet,62.0,Station_189,"Vashi Station East, Navi Mumbai",11.48343149,0.53,21.47990189,Night,Friday,35.53501681,91.07521077,267.4012631,-9.305817015,DC Fast Charger,Long-Distance Traveler,ChargeZone - Vashi,ChargeZone,chargezone vashi,ChargeZone - Vashi,"Vashi Station East, Navi Mumbai",ChargeZone,"AC 22kW, DC 50kW","App, UPI",Parking,19.0708,72.9991,Mumbai,Maharashtra
TATA Nexon,85.0,Station_44,"Orion Mall, Panvel",15.25417073,2.26,6.762530034,Evening,Thursday,42.74181829,88.23131388,263.8277791,-2.25831715,Level 1,Commuter,Statiq - Panvel,Statiq,statiq panvel,Statiq - Panvel,"Orion Mall, Panvel",Statiq,"AC 22kW, DC 50kW","App, Card",Mall Parking,18.9892,73.117,Mumbai,Maharashtra
Hyundai Kona,85.0,Station_330,"Dr Ambedkar Rd, Parel, Mumbai",45.0685333,1.1,41.03311514,Night,Sunday,51.66193909,92.05776183,76.48391316,37.01416735,Level 1,Long-Distance Traveler,Kazam - Parel,Kazam,kazam parel,Kazam - Parel,"Dr Ambedkar Rd, Parel, Mumbai",Kazam,"AC 3.3kW, DC 15kW","App, Card, UPI",Parking,19.0094,72.8394,Mumbai,Maharashtra
Hyundai Kona,75.0,Station_378,"Anushakti Nagar, Trombay, Mumbai",64.87047474,1.66,38.98816937,Night,Tuesday,26.65071179,56.3647707,90.1348094,27.33409428,Level 1,Casual Driver,Magenta ChargeGrid - Trombay,Magenta,magenta chargegrid trombay,Magenta ChargeGrid - Trombay,"Anushakti Nagar, Trombay, Mumbai",Magenta,"AC 7.4kW, DC 15kW",App,Public Parking,19.037,72.9235,Mumbai,Maharashtra
TATA Nexon,50.0,Station_390,"2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",25.13233553,1.55,16.20549351,Night,Monday,25.68434812,94.52863671,127.4300174,40.25549686,Level 1,Commuter,Masstech controls Pvt ltd,,masstech controls pvt ltd,Masstech controls Pvt ltd,"2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",,,,,19.17674569,72.94574801,Mumbai,Maharashtra
MG Comet,85.0,Station_120,"CR2 Mall Parking, Nariman Point, Mumbai, MH 400021",67.45124177,1.5,45.01922284,Evening,Friday,36.06774243,61.52733401,277.4891719,20.70521874,DC Fast Charger,Casual Driver,Tata Power - Nariman Point,Tata Power,tata power nariman point,Tata Power - Nariman Point,"CR2 Mall Parking, Nariman Point, Mumbai, MH 400021",Tata Power,"AC 22kW, DC 25kW","App, RFID, UPI","Mall Parking, App Connect",18.9255,72.8234,Mumbai,Maharashtra
TATA Nexon,75.0,Station_405,"Century Bazaar, Prabhadevi, Mumbai",21.81937874,,26.50712322,Evening,Monday,77.21863836,96.77280778,199.5727452,38.08420738,Level 1,Casual Driver,Magenta ChargeGrid - Prabhadevi,Magenta,magenta chargegrid prabhadevi,Magenta ChargeGrid - Prabhadevi,"Century Bazaar, Prabhadevi, Mumbai",Magenta,"AC 7.4kW, DC 15kW",App,Street Parking,19.0155,72.8275,Mumbai,Maharashtra
TATA Tiago,85.0,Station_352,"Next to Bharat Diamond Bourse, BKC, Mumbai",60.12372287,1.96,30.65934381,Night,Friday,30.09851055,86.7579399,205.5531188,34.63224699,DC Fast Charger,Long-Distance Traveler,Statiq - Bandra Kurla Complex,Statiq,statiq bandra kurla complex,Statiq - Bandra Kurla Complex,"Next to Bharat Diamond Bourse, BKC, Mumbai",Statiq,"AC 11kW, DC 45kW","App, Card",Parking,19.0588,72.8703,Mumbai,Maharashtra
Hyundai Kona,62.0,Station_426,"Ghansoli Station East, Navi Mumbai",28.57887808,1.51,18.89050926,Afternoon,Wednesday,25.48787822,91.4661195,268.4562979,17.67509365,DC Fast Charger,Long-Distance Traveler,Volttic - Ghansoli,Volttic,volttic ghansoli,Volttic - Ghansoli,"Ghansoli Station East, Navi Mumbai",Volttic,DC 25kW,App,Public Parking,19.1339,73.0011,Mumbai,Maharashtra
Hyundai Kona,62.0,Station_32,"Next to VRL Logistics, Ashok Gardens, PD’Mello Rd, Sewri West, Mumbai 400033",21.13404478,0.65,32.2920457,Night,Sunday,44.71421516,79.20117924,72.35376169,-1.212120196,Level 2,Long-Distance Traveler,Ather Grid - Sewri,Ather,ather grid sewri,Ather Grid - Sewri,"Next to VRL Logistics, Ashok Gardens, PD’Mello Rd, Sewri West, Mumbai 400033",Ather,DC Fast 25kW,App,"Parking, App Connect",18.9959,72.8532,Mumbai,Maharashtra
TATA Curvv,50.0,Station_25,"Khandeshwar Railway Station, Navi Mumbai",79.39006382,4.15,19.13778917,Morning,Saturday,63.91237042,87.44451137,136.959135,14.46130434,Level 2,Commuter,Tata Power - Khandeshwar,Tata Power,tata power khandeshwar,Tata Power - Khandeshwar,"Khandeshwar Railway Station, Navi Mumbai",Tata Power,AC 11kW,App,Station Parking,19.0028,73.1076,Mumbai,Maharashtra
TATA Curvv,85.0,Station_232,"Eastern Express Hwy, Near Viviana Mall, Thane, Mumbai",43.4665651,1.25,34.69206917,Morning,Thursday,49.71687028,75.84852337,136.959135,-8.771230053,Level 2,Casual Driver,Kazam - Thane,Kazam,kazam thane,Kazam - Thane,"Eastern Express Hwy, Near Viviana Mall, Thane, Mumbai",Kazam,"AC 7.4kW, DC 22kW",App,Parking,19.1866,72.9728,Mumbai,Maharashtra
Hyundai Kona,85.0,Station_84,"Central Park Parking, Kharghar, Navi Mumbai",64.60983161,16.19,3.991359551,Morning,Wednesday,21.98287037,72.93984362,116.177119,17.10924053,Level 1,Long-Distance Traveler,Statiq - Kharghar Central Park,Statiq,statiq kharghar central park,Statiq - Kharghar Central Park,"Central Park Parking, Kharghar, Navi Mumbai",Statiq,"AC 22kW, DC 60kW",App,Park Parking,19.0418,73.0634,Mumbai,Maharashtra
TATA Tiago,62.0,Station_402,"Ghatkopar East, Mumbai",34.38288065,5.24,6.558201297,Night,Sunday,51.16789791,88.32990473,108.5921419,-9.825102182,Level 1,Long-Distance Traveler,Statiq - Ghatkopar,Statiq,statiq ghatkopar,Statiq - Ghatkopar,"Ghatkopar East, Mumbai",Statiq,"AC 11kW, DC 60kW","App, Card",Parking,19.0836,72.9136,Mumbai,Maharashtra
